"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\config\constants.js", "JavaScript", 14, 2, 3, 19
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\config\database.js", "JavaScript", 11, 2, 3, 16
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\config\logger.js", "JavaScript", 18, 1, 5, 24
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\config\rateLimiter.js", "JavaScript", 15, 1, 2, 18
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\addon.controller.js", "JavaScript", 22, 0, 4, 26
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\auth.controller.js", "JavaScript", 15, 0, 4, 19
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\booking.controller.js", "JavaScript", 124, 1, 24, 149
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\professional.controller.js", "JavaScript", 48, 0, 9, 57
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\service.controller.js", "JavaScript", 40, 0, 8, 48
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\controllers\user.controller.js", "JavaScript", 115, 10, 27, 152
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\errors\customErrors.js", "JavaScript", 34, 1, 8, 43
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\middleware\auth.middleware.js", "JavaScript", 32, 2, 13, 47
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\middleware\authorizeRole.js", "JavaScript", 9, 0, 4, 13
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\middleware\checkUserOwnership.js", "JavaScript", 10, 0, 8, 18
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\middleware\error.middleware.js", "JavaScript", 17, 3, 5, 25
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\middleware\validation.middleware.js", "JavaScript", 35, 1, 10, 46
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\addon.repository.js", "JavaScript", 19, 0, 5, 24
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\address.repository.js", "JavaScript", 57, 1, 7, 65
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\booking.repository.js", "JavaScript", 223, 9, 29, 261
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\bookingAddon.repository.js", "JavaScript", 37, 1, 4, 42
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\professional.repository.js", "JavaScript", 83, 0, 11, 94
"c:\Users\lokes\Desktop\aggregated_service_booking_platform\src\repository\professionalService.repository.js", "JavaScript", 9, 0, 2, 11
